Name,Rank,Year,Freq
JENNIFER,1,1980,705
AMANDA,2,1980,551
MELISSA,3,1980,316
LISA,4,1980,290
SARAH,5,1980,284
MICHELLE,6,1980,281
NICOLE,7,1980,252
ERIN,8,1980,249
ANGELA,9,1980,215
HEATHER,10,1980,191
KIMBERLY,10,1980,191
CRYSTAL,12,1980,175
JESSICA,13,1980,168
ANDREA,14,1980,166
AMY,15,1980,151
CHRISTINE,16,1980,150
STEPHANIE,17,1980,146
LINDSAY,18,1980,144
TARA,19,1980,141
LAURA,20,1980,134
MELANIE,21,1980,131
SHANNON,21,1980,131
AMBER,23,1980,127
KELLY,24,1980,123
CHRISTINA,25,1980,119
REBECCA,25,1980,119
PAMELA,27,1980,116
TANYA,28,1980,102
TRACY,29,1980,100
ELIZABETH,30,1980,99
JULIE,31,1980,95
DANIELLE,32,1980,94
JAMIE,33,1980,92
KATHERINE,34,1980,86
CHERYL,35,1980,84
MEGAN,36,1980,83
TAMMY,37,1980,81
JACQUELINE,38,1980,79
KRISTY,39,1980,77
KRISTA,40,1980,75
KAREN,41,1980,74
PATRICIA,42,1980,72
LEAH,43,1980,69
SARA,43,1980,69
DAWN,45,1980,68
TAMARA,45,1980,68
TIFFANY,45,1980,68
BRANDY,48,1980,65
STACEY,48,1980,65
MARIE,50,1980,64
CARRIE,51,1980,63
JILL,51,1980,63
CATHERINE,53,1980,62
CANDACE,54,1980,61
VANESSA,54,1980,61
KIMBERLEY,56,1980,60
LEANNE,56,1980,60
NATALIE,56,1980,60
ALLISON,59,1980,58
APRIL,59,1980,58
KRISTIN,61,1980,57
MARY,61,1980,57
NATASHA,63,1980,56
SHAUNA,63,1980,56
HOLLY,65,1980,55
KRISTEN,65,1980,55
ROBIN,67,1980,54
RACHEL,68,1980,53
SUSAN,68,1980,53
JOLENE,70,1980,52
KATHRYN,71,1980,51
CARLA,72,1980,49
COURTNEY,72,1980,49
TINA,72,1980,49
CARMEN,75,1980,48
SANDRA,75,1980,48
JANINE,77,1980,47
ROBYN,77,1980,47
ALISON,79,1980,46
ANNA,79,1980,46
CINDY,81,1980,45
COLLEEN,82,1980,44
EMILY,82,1980,44
DEANNA,84,1980,42
WENDY,84,1980,42
CANDICE,86,1980,41
MIRANDA,86,1980,41
SHELLEY,86,1980,41
SUZANNE,86,1980,41
ALICIA,90,1980,40
JODY,90,1980,40
KRISTINA,90,1980,40
MEGHAN,90,1980,40
SHAWNA,90,1980,40
JODI,95,1980,39
SAMANTHA,96,1980,38
JENNY,97,1980,37
LINDSEY,97,1980,37
LORI,97,1980,37
SABRINA,97,1980,37
BRANDI,101,1980,36
ERICA,101,1980,36
KATHLEEN,101,1980,36
DANA,104,1980,35
LESLIE,104,1980,35
BONNIE,106,1980,34
JULIA,106,1980,34
KENDRA,106,1980,34
CARLY,109,1980,33
CHARLENE,109,1980,33
CYNTHIA,109,1980,33
DENISE,109,1980,33
MANDY,109,1980,33
NAOMI,109,1980,33
TRINA,109,1980,33
AIMEE,116,1980,32
BARBARA,116,1980,32
JOANNE,116,1980,32
RENEE,116,1980,32
JOCELYN,120,1980,31
KYLA,120,1980,31
STACY,120,1980,31
CHRISTY,123,1980,30
MARIA,123,1980,30
ROXANNE,123,1980,30
SHERRY,123,1980,30
THERESA,123,1980,30
ANNE,128,1980,29
CAROLYN,128,1980,29
HEIDI,128,1980,29
JANELLE,128,1980,29
JILLIAN,128,1980,29
LINDA,128,1980,29
NANCY,128,1980,29
RHONDA,128,1980,29
TRISHA,128,1980,29
VICTORIA,128,1980,29
ANITA,138,1980,28
BRIANNE,138,1980,28
JAIME,138,1980,28
JANICE,138,1980,28
KIRSTEN,138,1980,28
DONNA,143,1980,27
JACLYN,143,1980,27
RACHELLE,143,1980,27
TANIA,143,1980,27
CAROLINE,147,1980,26
KARI,147,1980,26
LANA,147,1980,26
ALANA,150,1980,25
DIANA,150,1980,25
KARA,150,1980,25
TERESA,150,1980,25
KRISTINE,154,1980,24
NADINE,154,1980,24
VALERIE,154,1980,24
BRENDA,157,1980,23
CHRISTA,157,1980,23
KERRY,157,1980,23
MONIQUE,157,1980,23
NADIA,157,1980,23
NICHOLE,157,1980,23
CHANTEL,163,1980,22
CHANTELLE,163,1980,22
KATRINA,163,1980,22
KERRI,163,1980,22
LAURIE,163,1980,22
LESLEY,163,1980,22
MONICA,163,1980,22
ASHLEY,170,1980,21
CAROL,170,1980,21
DEBORAH,170,1980,21
DESIREE,170,1980,21
KARLA,170,1980,21
KATIE,170,1980,21
KELSEY,170,1980,21
MISTY,170,1980,21
SHEILA,170,1980,21
ADRIENNE,179,1980,20
BROOKE,179,1980,20
JANET,179,1980,20
JESSIE,179,1980,20
JODIE,179,1980,20
SHERI,179,1980,20
TASHA,179,1980,20
CHARITY,186,1980,19
CHELSEA,186,1980,19
CHRISTIE,186,1980,19
DIANE,186,1980,19
ELAINE,186,1980,19
GINA,186,1980,19
KERI,186,1980,19
KRYSTAL,186,1980,19
TERRA,186,1980,19
VERONICA,186,1980,19
AMIE,196,1980,18
CARA,196,1980,18
CHANTAL,196,1980,18
CLAIRE,196,1980,18
LAUREN,196,1980,18
MARGARET,196,1980,18
TERRI,196,1980,18
ALANNA,203,1980,17
AUDREY,203,1980,17
JASMINE,203,1980,17
JOANNA,203,1980,17
TANIS,203,1980,17
TONI,203,1980,17
BECKY,209,1980,16
BOBBI,209,1980,16
DEBBIE,209,1980,16
GILLIAN,209,1980,16
JANA,209,1980,16
JANNA,209,1980,16
KIM,209,1980,16
MELODY,209,1980,16
SHELLY,209,1980,16
TRICIA,209,1980,16
ANGIE,219,1980,15
CONNIE,219,1980,15
ERIKA,219,1980,15
JACKIE,219,1980,15
JENNA,219,1980,15
RUTH,219,1980,15
SONYA,219,1980,15
ALYSSA,226,1980,14
CAMILLE,226,1980,14
DALLAS,226,1980,14
DEBRA,226,1980,14
FIONA,226,1980,14
GENEVIEVE,226,1980,14
LARISSA,226,1980,14
MAUREEN,226,1980,14
MELINDA,226,1980,14
PAULA,226,1980,14
ROBERTA,226,1980,14
SHARON,226,1980,14
ALEXANDRA,238,1980,13
ALEXIS,238,1980,13
ANNETTE,238,1980,13
CASSANDRA,238,1980,13
DEANNE,238,1980,13
GRACE,238,1980,13
IRENE,238,1980,13
JACQUELYN,238,1980,13
JANE,238,1980,13
KRISTI,238,1980,13
LEONA,238,1980,13
LYNDSAY,238,1980,13
LYNN,238,1980,13
PRISCILLA,238,1980,13
SERENA,238,1980,13
SHERRI,238,1980,13
SHERYL,238,1980,13
TRACEY,238,1980,13
VIRGINIA,238,1980,13
ALISHA,257,1980,12
BEVERLY,257,1980,12
BRANDIE,257,1980,12
BREANNE,257,1980,12
CHANDRA,257,1980,12
CHARLOTTE,257,1980,12
CHARMAINE,257,1980,12
CHERIE,257,1980,12
ESTHER,257,1980,12
EVA,257,1980,12
HELEN,257,1980,12
JOY,257,1980,12
LAUREL,257,1980,12
LORA,257,1980,12
MARTHA,257,1980,12
MORGAN,257,1980,12
ROCHELLE,257,1980,12
ANGEL,274,1980,11
BILLIE,274,1980,11
CHRYSTAL,274,1980,11
KATHY,274,1980,11
KRISTIE,274,1980,11
MELISA,274,1980,11
MICHELE,274,1980,11
OLIVIA,274,1980,11
SHANNA,274,1980,11
SUSANNE,274,1980,11
TRUDY,274,1980,11
ANN,285,1980,10
ARLENE,285,1980,10
BETH,285,1980,10
CHELSEY,285,1980,10
CHERI,285,1980,10
DAYNA,285,1980,10
ELLEN,285,1980,10
JADE,285,1980,10
JAYME,285,1980,10
JEANETTE,285,1980,10
JEANINE,285,1980,10
JONI,285,1980,10
JOYCE,285,1980,10
JUDITH,285,1980,10
JUDY,285,1980,10
KATE,285,1980,10
KELLIE,285,1980,10
LARA,285,1980,10
MARINA,285,1980,10
MARISSA,285,1980,10
RACHAEL,285,1980,10
RICHELLE,285,1980,10
SYLVIA,285,1980,10
TABITHA,285,1980,10
BEVERLEY,309,1980,9
CORINNE,309,1980,9
DARA,309,1980,9
ELISSA,309,1980,9
EMMA,309,1980,9
JEAN,309,1980,9
KELLI,309,1980,9
KYLIE,309,1980,9
LOUISE,309,1980,9
MARCIE,309,1980,9
MINDY,309,1980,9
MIRIAM,309,1980,9
RANDI,309,1980,9
SALLY,309,1980,9
SASHA,309,1980,9
SHIRLEY,309,1980,9
SONIA,309,1980,9
VICKI,309,1980,9
VICKY,309,1980,9
ALYSON,328,1980,8
ANGELINE,328,1980,8
CARISSA,328,1980,8
COLETTE,328,1980,8
ELISA,328,1980,8
FRANCES,328,1980,8
FRANCINE,328,1980,8
GLENDA,328,1980,8
HAYLEY,328,1980,8
JAIMIE,328,1980,8
JULIANA,328,1980,8
LEE,328,1980,8
LIZA,328,1980,8
LONI,328,1980,8
LORRAINE,328,1980,8
