Name,Rank,Year,Freq
MICHAEL,1,1980,732
CHRISTOPHER,2,1980,633
DAVID,3,1980,537
JASON,4,1980,526
RYAN,5,1980,511
ROBERT,6,1980,363
JAMES,7,1980,360
MATTHEW,8,1980,336
DANIEL,9,1980,311
KEVIN,10,1980,305
JUSTIN,11,1980,270
SCOTT,12,1980,237
JOHN,13,1980,228
MARK,14,1980,225
JEFFREY,15,1980,223
ADAM,16,1980,222
BRADLEY,17,1980,217
STEVEN,18,1980,210
ANDREW,19,1980,207
TYLER,19,1980,207
JONATHAN,21,1980,203
TRAVIS,22,1980,171
TREVOR,23,1980,168
TIMOTHY,24,1980,166
JEREMY,25,1980,165
WILLIAM,26,1980,163
JOSHUA,27,1980,162
CHAD,28,1980,156
RICHARD,28,1980,156
NATHAN,30,1980,154
JESSE,31,1980,148
JOSEPH,32,1980,147
NICHOLAS,32,1980,147
STEPHEN,32,1980,147
AARON,35,1980,145
CURTIS,36,1980,138
DEREK,37,1980,133
SHAWN,37,1980,133
DUSTIN,39,1980,132
BENJAMIN,40,1980,130
THOMAS,41,1980,128
BRIAN,42,1980,127
PAUL,42,1980,127
CORY,44,1980,126
ERIC,44,1980,126
SHAUN,46,1980,123
SHANE,47,1980,122
SEAN,48,1980,121
GREGORY,49,1980,116
KYLE,50,1980,110
PETER,51,1980,104
DARREN,52,1980,102
COLIN,53,1980,100
PATRICK,54,1980,99
CRAIG,55,1980,97
JORDAN,56,1980,90
KENNETH,57,1980,85
BRENT,58,1980,84
DOUGLAS,59,1980,80
IAN,59,1980,80
ANTHONY,61,1980,77
CAMERON,61,1980,77
CLAYTON,63,1980,71
BRETT,64,1980,69
KELLY,64,1980,69
KEITH,66,1980,68
JAMIE,67,1980,66
CLINTON,68,1980,65
COREY,68,1980,65
JOEL,70,1980,64
JEFFERY,71,1980,63
CODY,72,1980,59
WESLEY,72,1980,59
NEIL,74,1980,58
DONALD,75,1980,57
LEE,75,1980,57
TROY,77,1980,56
DALLAS,78,1980,54
