Name,Rank,Year,Freq
CHRISTINE,1,1952,1346
SUSAN,2,1952,1170
MARGARET,3,1952,1112
JUDITH,4,1952,825
JENNIFER,5,1952,823
LYNETTE,6,1952,756
ROBYN,7,1952,747
PATRICIA,8,1952,739
HELEN,9,1952,648
ELIZABETH,10,1952,612
CHERYL,11,1952,601
JULIE,12,1952,543
ANNE,13,1952,497
DIANNE,14,1952,457
GAIL,15,1952,454
WENDY,16,1952,452
SANDRA,17,1952,448
BARBARA,18,1952,434
MARY,19,1952,433
PAMELA,20,1952,417
DIANE,21,1952,412
RHONDA,21,1952,412
KERRY,23,1952,388
DENISE,24,1952,381
SUZANNE,25,1952,375
CAROL,26,1952,362
LORRAINE,27,1952,360
MARILYN,28,1952,336
KATHLEEN,29,1952,329
LINDA,30,1952,301
MAUREEN,31,1952,294
JANICE,32,1952,291
CATHERINE,33,1952,286
LESLEY,34,1952,271
KAREN,35,1952,263
JANET,36,1952,255
ANN,37,1952,254
VICKI,38,1952,252
KAY,39,1952,247
CAROLYN,40,1952,246
COLLEEN,41,1952,243
BEVERLEY,42,1952,235
ANNETTE,43,1952,234
ROSLYN,44,1952,203
HEATHER,45,1952,199
MARIA,45,1952,199
SHARON,47,1952,185
SHIRLEY,48,1952,178
LYNNE,49,1952,177
GLENDA,50,1952,176
DEBORAH,51,1952,171
RUTH,52,1952,163
PAULINE,53,1952,160
KERRIE,54,1952,157
KATHRYN,55,1952,156
ROSEMARY,56,1952,155
JEANETTE,57,1952,152
YVONNE,58,1952,151
LEONIE,59,1952,148
MARIE,60,1952,147
IRENE,61,1952,139
JILL,62,1952,138
JAN,63,1952,130
FRANCES,64,1952,129
NARELLE,65,1952,127
JANETTE,66,1952,126
JOAN,67,1952,125
JOY,67,1952,125
SUSANNE,69,1952,123
JANE,70,1952,121
ELAINE,71,1952,120
MAREE,72,1952,118
LOUISE,73,1952,116
BRONWYN,74,1952,115
JACQUELINE,75,1952,99
ALISON,76,1952,98
JOANNE,77,1952,94
MICHELE,78,1952,91
DOROTHY,79,1952,90
GAYLE,79,1952,90
ROBIN,81,1952,89
VALERIE,81,1952,89
JUNE,83,1952,88
PENELOPE,84,1952,87
CARMEL,85,1952,86
GLORIA,86,1952,85
JILLIAN,87,1952,84
MARION,87,1952,84
DIANA,89,1952,81
LYNN,90,1952,79
VIRGINIA,91,1952,77
PAULA,92,1952,76
SALLY,93,1952,74
KAYE,94,1952,72
MICHELLE,94,1952,72
BRENDA,96,1952,70
FAY,97,1952,67
KIM,97,1952,67
SUE,99,1952,66
JEAN,100,1952,65
CHRISTINE,1,1953,1279
SUSAN,2,1953,1188
JENNIFER,3,1953,964
MARGARET,4,1953,961
JUDITH,5,1953,761
ROBYN,6,1953,753
JULIE,7,1953,739
LYNETTE,8,1953,658
HELEN,9,1953,648
PATRICIA,10,1953,646
ELIZABETH,11,1953,608
CHERYL,12,1953,602
ANNE,13,1953,500
KERRY,14,1953,462
SANDRA,15,1953,453
BARBARA,16,1953,448
DIANE,17,1953,446
WENDY,18,1953,440
MARILYN,19,1953,430
DIANNE,20,1953,411
MARY,20,1953,411
DENISE,22,1953,410
PAMELA,23,1953,398
GAIL,24,1953,392
SUZANNE,25,1953,388
RHONDA,26,1953,379
LINDA,27,1953,358
CATHERINE,28,1953,350
LORRAINE,29,1953,348
VICKI,30,1953,316
JANICE,31,1953,314
DEBORAH,32,1953,311
KATHLEEN,33,1953,301
CAROL,34,1953,293
KAREN,35,1953,286
JANET,36,1953,270
ANN,37,1953,264
LESLEY,37,1953,264
KERRIE,39,1953,257
SHARON,40,1953,249
MAUREEN,41,1953,246
BEVERLEY,42,1953,232
ROSLYN,43,1953,231
ANNETTE,44,1953,220
KAY,45,1953,208
COLLEEN,46,1953,205
MARIA,47,1953,204
CAROLYN,48,1953,199
HEATHER,48,1953,199
ROSEMARY,50,1953,190
LYNNE,51,1953,179
LEONIE,52,1953,172
KATHRYN,53,1953,163
YVONNE,54,1953,159
PAULINE,55,1953,156
JANE,56,1953,154
KIM,56,1953,154
JANETTE,58,1953,152
NARELLE,58,1953,152
MARIE,60,1953,150
RUTH,60,1953,150
SHIRLEY,62,1953,148
JEANETTE,63,1953,146
FRANCES,64,1953,143
GLENDA,65,1953,142
JAN,66,1953,140
BRONWYN,67,1953,134
JILL,68,1953,133
MAREE,69,1953,132
JOY,70,1953,122
JACQUELINE,71,1953,119
MICHELLE,72,1953,114
LOUISE,73,1953,113
ALISON,74,1953,112
DEBRA,75,1953,110
JOAN,75,1953,110
MICHELE,77,1953,106
SUSANNE,78,1953,104
ELAINE,79,1953,97
JOANNE,79,1953,97
IRENE,81,1953,96
VIRGINIA,82,1953,95
DOROTHY,83,1953,94
ROBIN,84,1953,89
JILLIAN,85,1953,86
SALLY,86,1953,85
LYNN,87,1953,83
MARION,88,1953,82
BRENDA,89,1953,81
CARMEL,89,1953,81
DONNA,91,1953,76
JUNE,91,1953,76
GAYLE,93,1953,74
SUE,93,1953,74
DIANA,95,1953,73
VALERIE,96,1953,72
STEPHANIE,97,1953,71
LYNDA,98,1953,69
GLORIA,99,1953,67
PAULA,99,1953,67
SUSAN,1,1954,1175
CHRISTINE,2,1954,1126
MARGARET,3,1954,899
JENNIFER,4,1954,833
JULIE,5,1954,831
ROBYN,6,1954,707
LYNETTE,7,1954,667
JUDITH,8,1954,657
HELEN,9,1954,612
PATRICIA,10,1954,561
ANNE,11,1954,541
WENDY,12,1954,530
KAREN,13,1954,521
CHERYL,14,1954,512
ELIZABETH,15,1954,501
KERRY,16,1954,471
SANDRA,17,1954,450
DEBORAH,18,1954,435
SUZANNE,19,1954,403
VICKI,20,1954,395
