Name,Rank,Year,Freq
JOHN,1,1952,2205
PETER,2,1952,1903
ROBERT,3,1952,1787
STEPHEN,4,1952,1485
DAVID,5,1952,1340
MICHAEL,6,1952,1222
PAUL,7,1952,1046
GARY,8,1952,834
GREGORY,9,1952,811
IAN,10,1952,748
CHRISTOPHER,11,1952,718
WILLIAM,12,1952,645
BRIAN,13,1952,624
PHILLIP,14,1952,596
GEOFFREY,15,1952,586
KENNETH,16,1952,548
RAYMOND,17,1952,525
ANTHONY,18,1952,520
GARRY,19,1952,512
GRAHAM,19,1952,512
JAMES,21,1952,511
COLIN,22,1952,508
BRUCE,23,1952,504
RONALD,24,1952,495
RICHARD,25,1952,494
KEVIN,26,1952,480
MARK,27,1952,475
ALAN,28,1952,474
WAYNE,29,1952,423
BARRY,30,1952,395
ALLAN,31,1952,372
PHILIP,32,1952,358
GRAEME,33,1952,332
DENNIS,34,1952,328
TREVOR,35,1952,296
ROSS,36,1952,291
LESLIE,37,1952,286
RODNEY,38,1952,266
JEFFREY,39,1952,259
KEITH,40,1952,244
STEVEN,41,1952,234
NEIL,42,1952,233
WARREN,43,1952,221
THOMAS,44,1952,220
DONALD,45,1952,218
GEORGE,46,1952,200
DOUGLAS,47,1952,198
EDWARD,48,1952,197
RUSSELL,49,1952,189
GLENN,50,1952,176
ANDREW,51,1952,172
MALCOLM,52,1952,166
TERENCE,53,1952,163
TERRENCE,54,1952,158
NEVILLE,55,1952,156
NOEL,55,1952,156
CHARLES,57,1952,146
GORDON,57,1952,146
PATRICK,59,1952,141
TERRY,60,1952,129
TIMOTHY,61,1952,128
JOSEPH,62,1952,122
NORMAN,63,1952,116
ROGER,64,1952,113
DENIS,65,1952,112
LINDSAY,66,1952,111
ARTHUR,67,1952,106
FREDERICK,68,1952,104
LARRY,69,1952,102
ERIC,70,1952,99
MAXWELL,70,1952,99
KERRY,72,1952,96
LEONARD,73,1952,94
FRANCIS,74,1952,91
WARWICK,74,1952,91
STUART,76,1952,90
LAWRENCE,77,1952,89
DESMOND,78,1952,87
ALLEN,79,1952,84
ALEXANDER,80,1952,82
GRAHAME,81,1952,79
MARTIN,81,1952,79
DANIEL,83,1952,78
BERNARD,84,1952,75
FRANK,85,1952,73
LAURENCE,86,1952,70
ADRIAN,87,1952,68
HAROLD,88,1952,66
JEFFERY,88,1952,66
DARRYL,90,1952,65
REGINALD,91,1952,63
GLEN,92,1952,61
KIM,92,1952,61
