Name,Rank,Year,Freq
SUSAN,1,1960,3299
MARY,2,1960,3248
KAREN,3,1960,3156
CYNTHIA,4,1960,2982
LISA,5,1960,2839
LINDA,6,1960,2807
DEBRA,7,1960,2692
PATRICIA*,8,1960,2668
DEBORAH,9,1960,2490
SANDRA,10,1960,2404
LAURA,11,1960,2032
ELIZABET*,12,1960,1905
PAMELA,13,1960,1839
DONNA,14,1960,1820
KATHLEEN*,15,1960,1772
LORI,16,1960,1746
KIMBERLY*,17,1960,1710
TERESA,18,1960,1709
JULIE,19,1960,1665
CHERYL,20,1960,1639
BARBARA,21,1960,1605
NANCY,22,1960,1569
DENISE,23,1960,1501
CHRISTIN*,24,1960,1410
CAROL,25,1960,1322
LISA,1,1961,3497
SUSAN,2,1961,3221
KAREN,3,1961,2985
MARY,4,1961,2973
CYNTHIA,5,1961,2832
LINDA,6,1961,2674
PATRICIA*,7,1961,2522
DEBORAH,8,1961,2495
SANDRA,9,1961,2483
DEBRA,10,1961,2211
LAURA,11,1961,2073
ELIZABET*,12,1961,2043
JULIE,13,1961,1895
LORI,14,1961,1881
KIMBERLY*,15,1961,1850
KATHLEEN*,16,1961,1842
PAMELA,17,1961,1778
TERESA,18,1961,1690
DONNA,19,1961,1639
CHRISTIN*,20,1961,1628
CHERYL,21,1961,1582
DENISE,22,1961,1532
NANCY,23,1961,1517
BARBARA,24,1961,1494
ROBIN,25,1961,1378
LISA,1,1962,3698
SUSAN,2,1962,3088
KAREN,3,1962,2935
MARY,4,1962,2924
CYNTHIA,5,1962,2850
DEBORAH,6,1962,2540
LINDA,7,1962,2418
PATRICIA*,8,1962,2302
KIMBERLY*,9,1962,2223
SANDRA,10,1962,2157
DEBRA,11,1962,2109
LAURA,12,1962,1995
JULIE,13,1962,1897
ELIZABET*,14,1962,1810
LORI,15,1962,1802
PAMELA,16,1962,1751
CHRISTIN*,17,1962,1732
KATHLEEN*,18,1962,1701
TERESA,19,1962,1680
DONNA,20,1962,1654
DENISE,21,1962,1480
KELLY,22,1962,1461
CHERYL,23,1962,1438
BARBARA,24,1962,1398
MICHELLE*,25,1962,1383
LISA,1,1963,4661
SUSAN,2,1963,2920
MARY,3,1963,2788
KAREN,4,1963,2723
CYNTHIA,5,1963,2559
DEBORAH,6,1963,2407
PATRICIA*,7,1963,2269
KIMBERLY*,8,1963,2254
LINDA,9,1963,2144
LAURA,10,1963,2141
SANDRA,11,1963,2113
CHRISTIN*,12,1963,2019
ELIZABET*,13,1963,1929
JULIE,14,1963,1847
LORI,15,1963,1823
DEBRA,16,1963,1804
TERESA,17,1963,1673
PAMELA,18,1963,1656
KATHLEEN*,19,1963,1582
KELLY,20,1963,1559
MARIA,21,1963,1513
DONNA,22,1963,1510
DENISE,23,1963,1487
MICHELLE*,24,1963,1486
JENNIFER*,25,1963,1404
LISA,1,1964,4541
MARY,2,1964,2892
KIMBERLY*,3,1964,2556
SUSAN,4,1964,2535
KAREN,5,1964,2495
CYNTHIA,6,1964,2451
PATRICIA*,7,1964,2363
CHRISTIN*,8,1964,2352
DEBORAH,9,1964,2232
LAURA,10,1964,2155
SANDRA,11,1964,1926
ELIZABET*,12,1964,1843
JULIE,13,1964,1827
LINDA,14,1964,1785
MICHELLE*,15,1964,1637
MARIA,16,1964,1527
JENNIFER*,17,1964,1520
DENISE,18,1964,1507
DEBRA,19,1964,1490
PAMELA,20,1964,1458
KATHLEEN*,21,1964,1456
TERESA,22,1964,1422
KELLY,23,1964,1415
LORI,24,1964,1387
DONNA,25,1964,1377
LISA,1,1965,4629
KIMBERLY*,2,1965,2822
KAREN,3,1965,2633
CHRISTIN*,4,1965,2462
MARY,5,1965,2293
CYNTHIA,6,1965,2200
PATRICIA*,7,1965,2160
SUSAN,8,1965,1968
DEBORAH,9,1965,1867
JULIE,10,1965,1829
ELIZABET*,11,1965,1812
LAURA,12,1965,1756
MICHELLE*,13,1965,1704
JENNIFER*,14,1965,1650
SANDRA,15,1965,1638
LINDA,16,1965,1598
MARIA,17,1965,1511
DENISE,18,1965,1380
KELLY,19,1965,1368
DEBRA,20,1965,1303
TERESA,21,1965,1274
DONNA,22,1965,1263
KATHLEEN*,23,1965,1211
TRACY,24,1965,1198
PAMELA,25,1965,1157
LISA,1,1966,4672
MICHELLE*,2,1966,3053
KIMBERLY*,3,1966,2990
CHRISTIN*,4,1966,2481
KAREN,5,1966,1983
CYNTHIA,6,1966,1940
MARY,7,1966,1924
JENNIFER*,8,1966,1852
SUSAN,9,1966,1789
PATRICIA*,10,1966,1757
JULIE,11,1966,1705
DEBORAH,12,1966,1649
ELIZABET*,13,1966,1623
LAURA,14,1966,1615
SANDRA,15,1966,1548
MARIA,16,1966,1395
KELLY,17,1966,1256
DENISE,18,1966,1230
TINA,19,1966,1216
MICHELE,20,1966,1178
LINDA,21,1966,1168
TERESA,22,1966,1159
TRACY,23,1966,1133
KATHLEEN*,24,1966,1110
STEPHANI*,25,1966,1102
LISA,1,1967,4361
MICHELLE*,2,1967,3424
KIMBERLY*,3,1967,2970
CHRISTIN*,4,1967,2682
JENNIFER*,5,1967,1818
JULIE,6,1967,1807
CYNTHIA,7,1967,1739
MARY,8,1967,1691
KAREN,9,1967,1684
PATRICIA*,10,1967,1675
ELIZABET*,11,1967,1626
SUSAN,12,1967,1584
LAURA,13,1967,1571
MARIA,14,1967,1461
SANDRA,15,1967,1412
STEPHANI*,16,1967,1406
DEBORAH,17,1967,1368
DENISE,18,1967,1251
KELLY,19,1967,1238
TINA,19,1967,1238
WENDY,21,1967,1113
ANGELA,22,1967,1112
TRACY,23,1967,1110
MICHELE,24,1967,1079
TAMMY,25,1967,1050
LISA,1,1968,4301
MICHELLE*,2,1968,3610
CHRISTIN*,3,1968,2999
JENNIFER*,4,1968,2855
KIMBERLY*,5,1968,2737
LAURA,6,1968,1951
JULIE,7,1968,1652
PATRICIA*,8,1968,1528
CYNTHIA,9,1968,1482
ELIZABET*,10,1968,1473
MARY,11,1968,1470
KAREN,12,1968,1461
KELLY,13,1968,1445
MARIA,14,1968,1430
STEPHANI*,15,1968,1347
SUSAN,16,1968,1325
TINA,17,1968,1310
SANDRA,18,1968,1301
ANGELA,19,1968,1254
DEBORAH,20,1968,1222
MICHELE,21,1968,1185
MELISSA,22,1968,1158
WENDY,23,1968,1084
DENISE,24,1968,1045
TRACY,25,1968,1037
LISA,1,1969,3956
MICHELLE*,2,1969,3608
JENNIFER*,3,1969,3420
CHRISTIN*,4,1969,3216
KIMBERLY*,5,1969,2910
JULIE,6,1969,1913
LAURA,7,1969,1806
CYNTHIA,8,1969,1566
MARIA,9,1969,1537
PATRICIA*,10,1969,1520
ELIZABET*,11,1969,1463
STEPHANI*,12,1969,1432
MARY,13,1969,1385
SHANNON,14,1969,1373
SANDRA,15,1969,1346
KAREN,16,1969,1302
ANGELA,17,1969,1301
MELISSA,18,1969,1269
KELLY,19,1969,1253
TINA,20,1969,1224
SUSAN,21,1969,1199
TRACY,22,1969,1159
DENISE,23,1969,1113
HEATHER,24,1969,1111
MICHELE,25,1969,1062
JENNIFER*,1,1970,4681
LISA,2,1970,3552
MICHELLE*,3,1970,3541
CHRISTIN*,4,1970,3206
KIMBERLY*,5,1970,2778
JULIE,6,1970,1758
MARIA,7,1970,1660
LAURA,8,1970,1639
SHANNON,9,1970,1615
CYNTHIA,10,1970,1594
HEATHER,11,1970,1582
ELIZABET*,12,1970,1564
STEPHANI*,13,1970,1535
ANGELA,14,1970,1508
PATRICIA*,15,1970,1355
TRACY,16,1970,1313
AMY,17,1970,1296
MELISSA,17,1970,1296
SANDRA,19,1970,1273
MARY,20,1970,1272
KAREN,21,1970,1225
DAWN,22,1970,1176
TINA,23,1970,1173
NICOLE,24,1970,1155
KELLY,25,1970,1077
JENNIFER*,1,1971,5468
MICHELLE*,2,1971,3167
LISA,3,1971,2863
CHRISTIN*,4,1971,2811
KIMBERLY*,5,1971,2288
MARIA,6,1971,1618
HEATHER,7,1971,1500
JULIE,8,1971,1469
SHANNON,9,1971,1392
CYNTHIA,10,1971,1391
