Name,Rank,Year,Freq
Mary,1,1964,3471
Catherine,2,1964,1412
Margaret,3,1964,1392
Ann,4,1964,866
Anne,5,1964,834
Elizabeth,6,1964,722
Caroline,7,1964,617
Bridget,8,1964,595
Geraldine,9,1964,579
Patricia,10,1964,536
Jacqueline,11,1964,529
Pauline,12,1964,460
Helen,13,1964,437
Deirdre,14,1964,408
Bernadette,15,1964,392
Sandra,16,1964,358
Eileen,17,1964,344
Martina,18,1964,339
Teresa,19,1964,328
Paula,20,1964,311
Carmel,21,1964,304
Susan,22,1964,303
Kathleen,23,1964,301
Angela,24,1964,291
Josephine,25,1964,287
Marie,26,1964,284
Ellen,27,1964,282
Linda,28,1964,279
Brigid,29,1964,272
Nora,30,1964,264
Joan,31,1964,262
Fiona,32,1964,249
Maria,33,1964,236
Anna,34,1964,214
Siobhan,35,1964,207
Carol,36,1964,185
Sheila,37,1964,176
Frances,38,1964,173
Sharon,39,1964,172
Christina,40,1964,169
Karen,41,1964,165
Julia,42,1964,157
Barbara,43,1964,156
Johanna,44,1964,146
Yvonne,45,1964,139
Sarah,46,1964,137
Colette,47,1964,135
Lorraine,47,1964,135
Rose,49,1964,130
Valerie,50,1964,129
Veronica,51,1964,126
Orla,52,1964,120
Miriam,53,1964,117
Louise,54,1964,116
Clare,55,1964,115
Denise,56,1964,113
Alice,57,1964,111
Elaine,58,1964,107
Jane,59,1964,106
Rita,59,1964,106
Theresa,61,1964,100
Grainne,62,1964,99
Brenda,63,1964,98
Helena,63,1964,98
Christine,65,1964,92
Noreen,65,1964,92
Suzanne,67,1964,91
Annette,68,1964,90
Jennifer,68,1964,90
Monica,70,1964,87
Rosemary,71,1964,86
Olive,72,1964,84
Philomena,72,1964,84
Adrienne,74,1964,80
Claire,75,1964,78
Deborah,76,1964,77
Katherine,77,1964,76
Jean,78,1964,75
Marian,78,1964,75
Dolores,80,1964,74
Maeve,80,1964,74
Rosaleen,80,1964,74
Edel,83,1964,73
Evelyn,83,1964,73
Audrey,85,1964,72
Irene,85,1964,72
Imelda,87,1964,70
Ruth,87,1964,70
Una,87,1964,70
Nuala,90,1964,68
Hannah,91,1964,67
Maureen,91,1964,67
Jacinta,93,1964,66
Winifred,93,1964,66
Antoinette,95,1964,65
Dorothy,95,1964,65
Majella,95,1964,65
Eleanor,98,1964,64
Ursula,98,1964,64
Aileen,100,1964,63
Agnes,101,1964,61
Esther,102,1964,60
Regina,102,1964,60
Noeleen,104,1964,59
Michele,105,1964,58
Janet,106,1964,56
Gillian,107,1964,55
Emer,108,1964,54
