Name,Rank,Year,Freq
John,1,1964,3696
Patrick,2,1964,2235
Michael,3,1964,2157
Paul,4,1964,1814
James,5,1964,1554
Thomas,6,1964,1349
David,7,1964,936
William,8,1964,875
Martin,9,1964,849
Gerard,10,1964,815
Joseph,11,1964,737
Anthony,12,1964,613
Peter,13,1964,527
Brian,14,1964,464
Kevin,15,1964,452
Francis,16,1964,429
Brendan,17,1964,426
Edward,18,1964,425
Daniel,19,1964,395
Noel,20,1964,394
Denis,21,1964,347
Robert,22,1964,342
Declan,23,1964,321
Richard,24,1964,301
Stephen,25,1964,296
Timothy,26,1964,295
Christopher,27,1964,289
Mark,28,1964,279
Alan,29,1964,245
Derek,30,1964,237
Raymond,30,1964,237
Kieran,32,1964,224
Bernard,33,1964,201
Andrew,34,1964,195
Dermot,34,1964,195
Philip,36,1964,187
Aidan,37,1964,182
Sean,38,1964,171
Cornelius,39,1964,161
Jeremiah,39,1964,161
Kenneth,41,1964,150
Vincent,42,1964,148
Charles,43,1964,145
Desmond,43,1964,145
Colm,45,1964,144
Donal,45,1964,144
Niall,47,1964,142
Laurence,48,1964,141
Ciaran,49,1964,124
Eugene,50,1964,123
Maurice,51,1964,120
George,52,1964,115
Hugh,53,1964,112
Liam,54,1964,111
Terence,55,1964,102
Conor,56,1964,97
Gerald,57,1964,94
Nicholas,58,1964,92
Matthew,59,1964,89
Henry,60,1964,87
Seamus,60,1964,87
Eamon,62,1964,86
Ian,62,1964,86
Eamonn,64,1964,83
Adrian,65,1964,75
Fergus,66,1964,71
Ronan,67,1964,70
Oliver,68,1964,69
Barry,69,1964,62
Finbarr,70,1964,61
Owen,71,1964,59
Gabriel,72,1964,57
Damian,73,1964,56
Rory,73,1964,56
Damien,75,1964,49
Enda,75,1964,49
Shane,75,1964,49
Garrett,78,1964,47
Gregory,78,1964,47
Edmond,80,1964,45
Bartholomew,81,1964,44
Neil,82,1964,43
Eoin,83,1964,42
Dominic,84,1964,41
Gary,84,1964,41
Karl,86,1964,40
Cormac,87,1964,39
Padraig,88,1964,38
Colin,89,1964,37
Ronald,89,1964,37
Leslie,91,1964,36
Simon,91,1964,36
Fergal,93,1964,35
Aiden,94,1964,34
Eric,94,1964,34
Cathal,96,1964,32
Keith,96,1964,32
Arthur,98,1964,31
Nigel,98,1964,31
Fintan,100,1964,29
Albert,101,1964,28
Leo,101,1964,28
Trevor,101,1964,28
Donald,104,1964,27
Edmund,105,1964,26
Finbar,105,1964,26
Frederick,105,1964,26
Luke,105,1964,26
Diarmuid,109,1964,25
Myles,109,1964,25
Dominick,111,1964,24
Walter,111,1964,24
Roger,113,1964,22
Austin,114,1964,20
Garry,114,1964,20
Alexander,116,1964,19
Cyril,116,1964,19
Pascal,116,1964,19
Colum,119,1964,18
Jerome,119,1964,18
Lawrence,119,1964,18
Paschal,119,1964,18
Samuel,119,1964,18
Victor,119,1964,18
Colman,125,1964,17
Hubert,125,1964,17
Jonathan,125,1964,17
Leonard,125,1964,17
Gordon,129,1964,16
Graham,129,1964,16
Malachy,129,1964,16
Mel,129,1964,16
Nial,129,1964,16
Alfred,134,1964,15
Norman,134,1964,15
Marcus,136,1964,14
Mervyn,136,1964,14
Phillip,136,1964,14
Benjamin,139,1964,13
Jarlath,139,1964,13
Justin,139,1964,13
Louis,139,1964,13
Malcolm,139,1964,13
Valentine,139,1964,13
Columba,145,1964,12
Mathew,145,1964,12
Allan,147,1964,11
Carl,147,1964,11
Clive,147,1964,11
Geoffrey,147,1964,11
Harold,147,1964,11
Ivan,147,1964,11
Lorcan,147,1964,11
Manus,147,1964,11
Alphonsus,155,1964,10
Ambrose,155,1964,10
Augustine,155,1964,10
Benedict,155,1964,10
Dara,155,1964,10
Finian,155,1964,10
Kiernan,155,1964,10
Morgan,155,1964,10
Pierce,155,1964,10
Allen,164,1964,9
Andrea,164,1964,9
Clement,164,1964,9
Coleman,164,1964,9
Donagh,164,1964,9
Eoghan,164,1964,9
Felix,164,1964,9
Frank,164,1964,9
Gearoid,164,1964,9
Phelim,164,1964,9
Stuart,164,1964,9
Bryan,175,1964,8
Derick,175,1964,8
Douglas,175,1964,8
Glenn,175,1964,8
Herbert,175,1964,8
Jeffrey,175,1964,8
Conrad,181,1964,7
Daragh,181,1964,7
Ernest,181,1964,7
Eunan,181,1964,7
Gerrard,181,1964,7
Roderick,181,1964,7
Roy,181,1964,7
Sylvester,181,1964,7
Tomas,181,1964,7
Ultan,181,1964,7
Aodh,191,1964,6
Columbanus,191,1964,6
Daire,191,1964,6
Dennis,191,1964,6
Feargal,191,1964,6
Ignatius,191,1964,6
Julian,191,1964,6
Neill,191,1964,6
Neville,191,1964,6
Redmond,191,1964,6
Ross,191,1964,6
Senan,191,1964,6
Stewart,191,1964,6
Aengus,204,1964,5
Bruce,204,1964,5
Conal,204,1964,5
Humphrey,204,1964,5
Killian,204,1964,5
Macdara,204,1964,5
Neal,204,1964,5
Padraic,204,1964,5
Roland,204,1964,5
Sharan,204,1964,5
Arnold,214,1964,4
Cieran,214,1964,4
Conleth,214,1964,4
Craig,214,1964,4
Edwin,214,1964,4
Fidelis,214,1964,4
Flannan,214,1964,4
Gareth,214,1964,4
Ivor,214,1964,4
Marco,214,1964,4
Michale,214,1964,4
Mortimer,214,1964,4
Ralph,214,1964,4
Russell,214,1964,4
Seosamh,214,1964,4
Stanley,214,1964,4
Theodore,214,1964,4
Warren,214,1964,4
Angus,232,1964,3
Basil,232,1964,3
Canice,232,1964,3
Connell,232,1964,3
Criona,232,1964,3
Daryl,232,1964,3
Dermott,232,1964,3
Derrick,232,1964,3
Dudley,232,1964,3
Fachtna,232,1964,3
Fearghal,232,1964,3
Felim,232,1964,3
Fiach,232,1964,3
Fiacre,232,1964,3
Finnian,232,1964,3
Garett,232,1964,3
Gavin,232,1964,3
Gilbert,232,1964,3
Glen,232,1964,3
Howard,232,1964,3
Isaac,232,1964,3
Jermiah,232,1964,3
Keiran,232,1964,3
Keirn,232,1964,3
Kyran,232,1964,3
Lorenzo,232,1964,3
Mario,232,1964,3
Matthias,232,1964,3
Nigil,232,1964,3
Oisin,232,1964,3
Rodney,232,1964,3
Stanislaus,232,1964,3
Steven,232,1964,3
Tadg,232,1964,3
Tiernan,232,1964,3
Wayne,232,1964,3
Willaim,232,1964,3
John,1,1965,3360
Patrick,2,1965,2281
Michael,3,1965,2057
James,4,1965,1464
Thomas,5,1965,1367
Paul,6,1965,1323
David,7,1965,1102
William,8,1965,1000
Martin,9,1965,843
Gerard,10,1965,837
Joseph,11,1965,705
Anthony,12,1965,663
Brian,13,1965,585
Peter,14,1965,578
Kevin,15,1965,469
Brendan,16,1965,436
Edward,17,1965,423
Declan,18,1965,412
Francis,19,1965,393
Stephen,20,1965,379
Noel,21,1965,374
Richard,22,1965,354
Robert,23,1965,353
Denis,24,1965,350
Daniel,25,1965,344
Mark,26,1965,318
Alan,27,1965,316
Christopher,28,1965,270
Timothy,29,1965,263
Derek,30,1965,255
Kieran,31,1965,252
Andrew,32,1965,236
Aidan,33,1965,233
Bernard,34,1965,211
Dermot,35,1965,207
Raymond,36,1965,205
Philip,37,1965,202
Donal,38,1965,189
Niall,39,1965,184
Kenneth,40,1965,182
Sean,41,1965,163
Jeremiah,42,1965,162
Cornelius,43,1965,158
Vincent,44,1965,154
Desmond,45,1965,148
Charles,46,1965,145
Eugene,47,1965,135
Colm,48,1965,133
Matthew,49,1965,129
Maurice,50,1965,128
Ciaran,51,1965,124
Laurence,52,1965,123
Hugh,53,1965,118
Ian,54,1965,110
Terence,55,1965,108
Conor,56,1965,107
George,56,1965,107
Seamus,58,1965,105
Liam,59,1965,103
Eamonn,60,1965,95
Damian,61,1965,86
Adrian,62,1965,82
Ronan,63,1965,81
Gerald,64,1965,78
Eamon,65,1965,75
Nicholas,65,1965,75
Shane,65,1965,75
Henry,68,1965,72
Oliver,69,1965,68
Enda,70,1965,66
Fergus,70,1965,66
Owen,72,1965,65
Damien,73,1965,63
Garrett,73,1965,63
Finbarr,75,1965,60
Simon,75,1965,60
Barry,77,1965,59
Edmond,77,1965,59
Eoin,77,1965,59
Gregory,80,1965,55
Gabriel,81,1965,54
Padraig,82,1965,52
Gary,83,1965,51
Keith,83,1965,51
