Name,Rank,Year,Freq
CHRISTOPHER,1,1980,144
JASON,2,1980,143
MATTHEW,3,1980,120
DAVID,4,1980,112
ANDREW,5,1980,95
DANIEL,6,1980,94
JOSEPH,7,1980,90
ROBERT,8,1980,89
ERIC,9,1980,83
MARC,10,1980,82
ADAM,11,1980,81
MARK,11,1980,81
RYAN,13,1980,78
SCOTT,14,1980,74
KEVIN,15,1980,72
JUSTIN,16,1980,71
BRIAN,16,1980,71
JAMES,18,1980,70
NICHOLAS,18,1980,70
MATTHEW,1,1981,166
RYAN,2,1981,141
MICHAEL,3,1981,137
JOSEPH,4,1981,135
JASON,5,1981,129
CHRISTOPHER,6,1981,127
DAVID,7,1981,109
DANIEL,8,1981,102
JONATHAN,9,1981,101
ANDREW,10,1981,95
JAMES,11,1981,84
JUSTIN,12,1981,81
ERIC,13,1981,78
ADAM,13,1981,78
KEVIN,15,1981,76
ROBERT,16,1981,75
MARC,17,1981,72
MATHIEU,17,1981,72
JEREMY,19,1981,67
NICHOLAS,20,1981,65
CHRISTOPHER,1,1982,171
MATTHEW,2,1982,164
MICHAEL,3,1982,157
JASON,4,1982,135
JOSEPH,5,1982,129
DAVID,6,1982,116
JONATHAN,7,1982,111
RYAN,8,1982,109
ANDREW,9,1982,100
ADAM,10,1982,92
ROBERT,11,1982,80
JAMES,11,1982,80
ERIC,13,1982,77
KEVIN,14,1982,74
DANIEL,15,1982,72
JOHN,16,1982,69
MATHIEU,17,1982,68
JUSTIN,18,1982,64
MARC,19,1982,59
JEREMY,19,1982,59
MATTHEW,1,1983,173
MICHAEL,2,1983,143
CHRISTOPHER,3,1983,131
JOSEPH,4,1983,127
RYAN,5,1983,123
JASON,6,1983,112
ANDREW,7,1983,103
JUSTIN,8,1983,96
DAVID,9,1983,95
ADAM,10,1983,94
JONATHAN,11,1983,92
DANIEL,12,1983,91
NICHOLAS,13,1983,82
MATHIEU,14,1983,78
KEVIN,15,1983,73
ERIC,16,1983,70
ROBERT,17,1983,69
JAMES,17,1983,69
MARC,17,1983,69
MARK,17,1983,69
MATTHEW,1,1984,165
CHRISTOPHER,2,1984,151
MICHAEL,3,1984,144
JASON,4,1984,127
JOSEPH,5,1984,119
ANDREW,6,1984,112
JOSHUA,7,1984,108
RYAN,8,1984,106
DANIEL,9,1984,95
ADAM,10,1984,94
MATHIEU,11,1984,92
JUSTIN,12,1984,89
JONATHAN,13,1984,84
NICHOLAS,14,1984,81
KEVIN,15,1984,80
DAVID,16,1984,78
ERIC,17,1984,70
JAMES,18,1984,65
JEFFREY,19,1984,64
MARC,20,1984,62
MATTHEW,1,1985,153
CHRISTOPHER,2,1985,136
JASON,3,1985,119
MICHAEL,4,1985,112
JONATHAN,5,1985,97
RYAN,6,1985,95
JOSHUA,7,1985,89
JOSEPH,8,1985,88
DANIEL,9,1985,86
ADAM,10,1985,84
JUSTIN,11,1985,81
ANDREW,12,1985,80
JAMES,13,1985,77
KEVIN,14,1985,74
DAVID,15,1985,73
JEFFREY,16,1985,72
MATHIEU,16,1985,72
ROBERT,18,1985,68
ERIC,19,1985,66
NICHOLAS,20,1985,62
CHRISTOPHER,1,1986,162
MATTHEW,2,1986,138
MICHAEL,3,1986,129
JOSHUA,4,1986,105
JUSTIN,5,1986,104
RYAN,6,1986,102
JOSEPH,7,1986,101
ANDREW,8,1986,94
JONATHAN,9,1986,91
NICHOLAS,10,1986,86
DANIEL,10,1986,86
DAVID,12,1986,83
JASON,12,1986,83
PATRICK,14,1986,74
ADAM,15,1986,68
JEREMY,15,1986,68
JAMES,17,1986,67
KEVIN,18,1986,66
KYLE,19,1986,65
