Name,Rank,Year,Freq
MARY,1,1900,410
MARGARET,2,1900,289
ANNIE,3,1900,239
DOROTHY,4,1900,193
FLORENCE,5,1900,192
ELIZABETH,6,1900,186
ALICE,7,1900,183
GLADYS,8,1900,180
DORIS,9,1900,177
ELSIE,10,1900,166
IVY,11,1900,159
MYRTLE,12,1900,151
ELLEN,13,1900,135
JESSIE,14,1900,133
VIOLET,14,1900,133
EILEEN,16,1900,132
ETHEL,17,1900,127
CATHERINE,18,1900,126
WINIFRED,19,1900,121
EDITH,20,1900,118
AGNES,21,1900,117
KATHLEEN,22,1900,116
OLIVE,23,1900,113
EVA,24,1900,96
IRENE,25,1900,94
RUBY,26,1900,88
VERA,27,1900,87
MABEL,28,1900,86
EVELYN,29,1900,83
FRANCES,30,1900,78
GRACE,31,1900,77
MURIEL,32,1900,75
IDA,33,1900,74
MAY,34,1900,70
ADA,35,1900,67
SARAH,36,1900,65
HILDA,37,1900,63
HELEN,38,1900,61
RITA,39,1900,60
THELMA,40,1900,59
ISABELLA,41,1900,53
LUCY,41,1900,53
RUTH,41,1900,53
EMILY,44,1900,52
GERTRUDE,45,1900,51
NELLIE,45,1900,51
PHYLLIS,47,1900,50
LILIAN,48,1900,49
HAZEL,49,1900,48
JANE,49,1900,48
LILLIAN,49,1900,48
ROSE,52,1900,45
CONSTANCE,53,1900,44
EDNA,53,1900,44
ELEANOR,53,1900,44
BEATRICE,56,1900,42
MAUD,56,1900,42
MARJORIE,58,1900,41
DAISY,59,1900,40
ELLA,59,1900,40
EMMA,59,1900,40
MONA,59,1900,40
JANET,63,1900,39
MARTHA,63,1900,39
AMY,65,1900,37
CLARA,66,1900,35
FLORA,67,1900,34
MARION,67,1900,34
MAVIS,67,1900,34
BERTHA,70,1900,33
CAROLINE,70,1900,33
LILY,70,1900,33
ESTHER,73,1900,32
LAURA,73,1900,32
MILDRED,73,1900,32
MINNIE,73,1900,32
ALMA,77,1900,31
CHRISTINA,77,1900,31
CHARLOTTE,79,1900,29
ELIZA,80,1900,28
EVELINE,80,1900,28
IRIS,80,1900,28
LOUISA,83,1900,27
MARJORY,83,1900,27
ISABEL,85,1900,26
AMELIA,86,1900,25
CLARICE,86,1900,25
GWENDOLINE,86,1900,25
KATE,86,1900,25
MAGGIE,86,1900,25
AILEEN,91,1900,24
FREDA,91,1900,24
HANNAH,91,1900,24
NORA,91,1900,24
STELLA,91,1900,24
LINDA,96,1900,23
NORAH,96,1900,23
RACHEL,96,1900,23
BERYL,99,1900,22
PEARL,99,1900,22
BESSIE,101,1900,20
MYRA,101,1900,20
BLANCHE,103,1900,19
JEAN,103,1900,19
SYLVIA,103,1900,19
BARBARA,106,1900,18
FANNY,106,1900,18
LORNA,108,1900,17
ANN,109,1900,16
ANNA,109,1900,16
HARRIET,109,1900,16
JOHANNA,109,1900,16
REBECCA,109,1900,16
THERESA,109,1900,16
DAPHNE,115,1900,15
HENRIETTA,115,1900,15
OLGA,115,1900,15
BRIDGET,118,1900,14
CECILIA,118,1900,14
MADGE,118,1900,14
PRETORIA,118,1900,14
VERONICA,118,1900,14
DULCIE,123,1900,13
MILLICENT,123,1900,13
ENID,125,1900,12
INA,125,1900,12
JEANNIE,125,1900,12
JOSEPHINE,125,1900,12
JULIA,125,1900,12
KATHERINE,125,1900,12
MATILDA,125,1900,12
SUSAN,125,1900,12
UNA,125,1900,12
WINNIFRED,125,1900,12
LYDIA,135,1900,11
MAUDE,135,1900,11
RHODA,135,1900,11
VICTORIA,135,1900,11
VIDA,135,1900,11
ADELAIDE,140,1900,10
AUDREY,140,1900,10
EFFIE,140,1900,10
INEZ,140,1900,10
MARGUERITE,140,1900,10
MARIE,140,1900,10
SYBIL,140,1900,10
MARY,1,1901,492
MARGARET,2,1901,339
ANNIE,3,1901,241
DOROTHY,4,1901,201
ELIZABETH,5,1901,198
GLADYS,6,1901,194
ALICE,7,1901,192
ELSIE,8,1901,188
DORIS,9,1901,172
FLORENCE,10,1901,165
EILEEN,11,1901,159
KATHLEEN,12,1901,154
IVY,13,1901,145
MYRTLE,14,1901,142
ELLEN,15,1901,140
EDITH,16,1901,137
JESSIE,17,1901,129
ETHEL,18,1901,128
OLIVE,19,1901,125
VIOLET,20,1901,124
CATHERINE,21,1901,120
IRENE,22,1901,117
VERA,23,1901,112
WINIFRED,24,1901,111
AGNES,25,1901,105
GRACE,26,1901,99
MURIEL,27,1901,95
EVELYN,28,1901,91
MAY,29,1901,88
MABEL,30,1901,87
RUBY,31,1901,83
HILDA,32,1901,78
EMILY,33,1901,76
FRANCES,34,1901,74
IDA,35,1901,73
ISABELLA,35,1901,73
EVA,37,1901,72
SARAH,38,1901,70
RITA,39,1901,67
EDNA,40,1901,66
THELMA,41,1901,63
HAZEL,42,1901,62
ADA,43,1901,59
HELEN,43,1901,59
CONSTANCE,45,1901,56
MARION,46,1901,54
MARJORIE,46,1901,54
VICTORIA,48,1901,53
GERTRUDE,49,1901,51
JANE,49,1901,51
BEATRICE,51,1901,49
ROSE,52,1901,46
AMY,53,1901,45
LILIAN,53,1901,45
ALMA,55,1901,44
LILLIAN,56,1901,43
DAISY,57,1901,42
PHYLLIS,57,1901,42
ISABEL,59,1901,40
JANET,59,1901,40
FLORA,61,1901,39
LOUISA,61,1901,39
LUCY,61,1901,39
MINNIE,61,1901,39
ELLA,65,1901,37
CHARLOTTE,66,1901,36
LILY,66,1901,36
MARJORY,66,1901,36
MAVIS,66,1901,36
EMMA,70,1901,35
IRIS,70,1901,35
NELLIE,72,1901,34
RUTH,72,1901,34
MARTHA,74,1901,33
MONA,74,1901,33
CHRISTINA,76,1901,32
FREDA,77,1901,31
CLARICE,78,1901,30
JEAN,78,1901,30
LAURA,80,1901,29
ESTHER,81,1901,28
GWENDOLINE,81,1901,28
BERTHA,83,1901,27
STELLA,83,1901,27
AMELIA,85,1901,26
MAUD,85,1901,26
MYRA,85,1901,26
HARRIET,88,1901,25
BESSIE,89,1901,24
CLARA,89,1901,24
NORA,89,1901,24
