Name,Rank,Year,Freq
WILLIAM,1,1900,753
JOHN,2,1900,636
JAMES,3,1900,437
GEORGE,4,1900,387
CHARLES,5,1900,326
THOMAS,6,1900,309
ROBERT,7,1900,299
ARTHUR,8,1900,255
FREDERICK,9,1900,211
HENRY,10,1900,206
ALBERT,11,1900,196
ALFRED,12,1900,181
HAROLD,13,1900,169
LESLIE,14,1900,166
EDWARD,15,1900,158
WALTER,16,1900,154
ERNEST,17,1900,152
FRANCIS,18,1900,149
HERBERT,19,1900,127
CECIL,20,1900,124
LEONARD,21,1900,119
NORMAN,22,1900,112
JOSEPH,23,1900,110
DAVID,24,1900,106
ERIC,25,1900,105
FRANK,26,1900,102
ALEXANDER,27,1900,101
GORDON,28,1900,97
CYRIL,29,1900,96
STANLEY,30,1900,95
RICHARD,31,1900,94
HECTOR,32,1900,90
PERCY,33,1900,77
REGINALD,34,1900,67
DOUGLAS,35,1900,61
ROY,35,1900,61
ALLAN,37,1900,60
HARRY,38,1900,58
CLARENCE,39,1900,55
ANDREW,40,1900,53
DONALD,41,1900,48
KENNETH,41,1900,48
RONALD,43,1900,47
SAMUEL,43,1900,47
VICTOR,43,1900,47
HUGH,46,1900,45
PATRICK,47,1900,44
RAYMOND,47,1900,44
EDWIN,49,1900,41
SYDNEY,49,1900,41
BADEN,51,1900,38
WILFRED,51,1900,38
HORACE,53,1900,37
PETER,53,1900,37
ALAN,55,1900,35
CLIFFORD,55,1900,35
CLAUDE,57,1900,33
ARCHIBALD,58,1900,32
JACK,58,1900,32
MICHAEL,60,1900,31
BERNARD,61,1900,30
LAWRENCE,61,1900,30
MAURICE,63,1900,29
GILBERT,64,1900,28
DANIEL,65,1900,27
LOUIS,65,1900,27
COLIN,67,1900,26
IAN,67,1900,26
GEOFFREY,69,1900,25
KEITH,69,1900,25
LAURENCE,69,1900,25
LEO,69,1900,25
PHILIP,69,1900,25
RALPH,69,1900,25
EDGAR,75,1900,24
SIDNEY,76,1900,23
ARNOLD,77,1900,22
