Name,Rank,Year,Freq
JOHN,1,1920,451
JOSEPH,2,1920,303
JAMES,3,1920,269
WILLIAM,3,1920,269
GEORGE,5,1920,247
CHARLES,6,1920,150
ROBERT,7,1920,142
DONALD,8,1920,138
HAROLD,9,1920,121
ARTHUR,10,1920,111
THOMAS,11,1920,102
EDWARD,12,1920,80
GERALD,13,1920,77
WALTER,13,1920,77
GORDON,15,1920,71
RALPH,16,1920,69
ALBERT,17,1920,62
KENNETH,17,1920,62
DOUGLAS,19,1920,61
RONALD,20,1920,57
JOHN,1,1921,490
JOSEPH,2,1921,355
WILLIAM,3,1921,279
JAMES,4,1921,244
GEORGE,5,1921,209
CHARLES,6,1921,173
DONALD,7,1921,165
ROBERT,8,1921,156
ARTHUR,9,1921,112
HAROLD,10,1921,109
GERALD,11,1921,90
EDWARD,12,1921,87
THOMAS,12,1921,87
RONALD,14,1921,69
GORDON,15,1921,68
WALTER,16,1921,67
DOUGLAS,17,1921,66
KENNETH,17,1921,66
RALPH,17,1921,66
ALBERT,20,1921,65
JOHN,1,1922,456
JOSEPH,2,1922,320
JAMES,3,1922,279
WILLIAM,4,1922,259
DONALD,5,1922,191
GEORGE,6,1922,187
CHARLES,7,1922,169
ROBERT,8,1922,152
ARTHUR,9,1922,113
HAROLD,10,1922,107
THOMAS,11,1922,94
WALTER,12,1922,82
GERALD,13,1922,81
EDWARD,14,1922,77
RALPH,14,1922,77
KENNETH,16,1922,72
GORDON,17,1922,71
DOUGLAS,18,1922,70
ALEXANDER,19,1922,63
HENRY,19,1922,63
JOHN,1,1923,375
JOSEPH,2,1923,303
JAMES,3,1923,232
WILLIAM,4,1923,214
GEORGE,5,1923,211
DONALD,6,1923,185
CHARLES,7,1923,154
ROBERT,8,1923,132
HAROLD,9,1923,115
GERALD,10,1923,90
ARTHUR,11,1923,75
DOUGLAS,12,1923,71
EDWARD,13,1923,70
WALTER,13,1923,70
THOMAS,15,1923,69
KENNETH,16,1923,67
RONALD,16,1923,67
HARRY,18,1923,62
FRANCIS,19,1923,59
GORDON,20,1923,57
JOHN,1,1924,435
JOSEPH,2,1924,306
JAMES,3,1924,247
WILLIAM,4,1924,246
GEORGE,5,1924,196
DONALD,6,1924,195
CHARLES,7,1924,160
ROBERT,8,1924,141
HAROLD,9,1924,107
GERALD,10,1924,105
ARTHUR,11,1924,84
THOMAS,12,1924,81
GORDON,13,1924,79
DOUGLAS,14,1924,65
FREDERICK,15,1924,61
RONALD,16,1924,58
FRANK,17,1924,57
KENNETH,17,1924,57
ALBERT,19,1924,56
EDWARD,19,1924,56
JOHN,1,1925,501
WILLIAM,2,1925,276
JOSEPH,3,1925,266
JAMES,4,1925,223
GEORGE,5,1925,209
DONALD,6,1925,203
ROBERT,7,1925,161
CHARLES,8,1925,138
ARTHUR,9,1925,102
HAROLD,10,1925,94
GERALD,11,1925,89
THOMAS,12,1925,87
EDWARD,13,1925,79
GORDON,14,1925,71
KENNETH,14,1925,71
WALTER,16,1925,64
FRANCIS,17,1925,62
ALEXANDER,18,1925,61
RONALD,19,1925,60
DOUGLAS,20,1925,55
JOHN,1,1926,402
JOSEPH,2,1926,301
JAMES,3,1926,245
WILLIAM,4,1926,237
DONALD,5,1926,202
GEORGE,6,1926,191
ROBERT,7,1926,158
CHARLES,8,1926,138
HAROLD,9,1926,123
ARTHUR,10,1926,97
GERALD,11,1926,96
EDWARD,12,1926,73
THOMAS,13,1926,72
GORDON,14,1926,69
FRANCIS,15,1926,66
DOUGLAS,16,1926,61
RONALD,17,1926,59
WALTER,17,1926,59
KENNETH,19,1926,57
ALEXANDER,20,1926,53
RALPH,20,1926,53
JOHN,1,1927,412
JOSEPH,2,1927,270
JAMES,3,1927,234
WILLIAM,4,1927,233
GEORGE,5,1927,189
DONALD,6,1927,171
CHARLES,7,1927,159
ROBERT,8,1927,147
GERALD,9,1927,108
ARTHUR,10,1927,104
HAROLD,11,1927,102
THOMAS,12,1927,74
DOUGLAS,13,1927,73
RONALD,13,1927,73
EDWARD,15,1927,72
GORDON,16,1927,71
KENNETH,17,1927,62
FRANCIS,18,1927,61
DANIEL,19,1927,52
RALPH,19,1927,52
JOHN,1,1928,392
JOSEPH,2,1928,273
JAMES,3,1928,239
WILLIAM,4,1928,237
DONALD,5,1928,204
ROBERT,6,1928,198
GEORGE,7,1928,196
CHARLES,8,1928,138
GERALD,9,1928,98
HAROLD,9,1928,98
GORDON,11,1928,78
RONALD,12,1928,75
KENNETH,13,1928,74
ARTHUR,14,1928,73
THOMAS,14,1928,73
EDWARD,16,1928,66
FRANCIS,17,1928,63
ALEXANDER,18,1928,61
DOUGLAS,19,1928,58
WALTER,20,1928,48
