Name,Rank,Year,Freq
M,1,1917,2755
MARGARET,2,1917,1385
DOROTHY,3,1917,993
HELEN,4,1917,947
MARY,5,1917,765
FLORENCE,6,1917,525
ANNIE,7,1917,449
MARIE,8,1917,436
JEAN,9,1917,427
DORIS,10,1917,418
RUTH,11,1917,412
EDITH,12,1917,401
ELIZABETH,13,1917,395
EDNA,14,1917,371
MARION,15,1917,326
ALICE,16,1917,317
EVELYN,16,1917,317
KATHLEEN,18,1917,316
MILDRED,19,1917,313
GLADYS,20,1917,307
ETHEL,21,1917,306
ANNA,22,1917,300
LILLIAN,23,1917,299
MARJORIE,24,1917,294
GRACE,25,1917,283
HAZEL,26,1917,279
IRENE,27,1917,266
VIOLET,28,1917,262
FRANCES,29,1917,253
MURIEL,30,1917,243
VERA,31,1917,232
BEATRICE,32,1917,227
ELSIE,32,1917,227
AUDREY,34,1917,207
GERTRUDE,34,1917,207
OLIVE,36,1917,200
EVA,37,1917,196
AGNES,38,1917,193
LAURA,39,1917,189
THELMA,40,1917,187
PHYLLIS,41,1917,186
MABEL,42,1917,185
SARAH,43,1917,171
RUBY,44,1917,166
CATHERINE,45,1917,161
JESSIE,46,1917,158
NORMA,47,1917,157
ELEANOR,48,1917,153
HILDA,49,1917,151
ROSE,49,1917,151
VERNA,51,1917,142
MYRTLE,52,1917,139
MARGUERITE,53,1917,136
BERTHA,54,1917,130
PEARL,55,1917,127
IDA,56,1917,126
EILEEN,57,1917,123
ELLEN,57,1917,123
ALMA,59,1917,121
WINNIFRED,59,1917,121
CLARA,61,1917,117
MARJORY,62,1917,111
BESSIE,63,1917,110
RETA,64,1917,107
NELLIE,65,1917,101
VIOLA,65,1917,101
BERNICE,67,1917,97
ESTHER,68,1917,94
DORA,69,1917,93
ADA,70,1917,89
NORA,70,1917,89
ELLA,72,1917,86
JOSEPHINE,72,1917,86
MARTHA,72,1917,86
VELMA,75,1917,83
EMMA,76,1917,82
BARBARA,77,1917,81
MAY,77,1917,81
STELLA,77,1917,81
RITA,80,1917,80
ISABEL,81,1917,78
JENNIE,82,1917,77
LILIAN,83,1917,76
MARIA,83,1917,76
ISABELLA,85,1917,74
FRANCIS,86,1917,73
LENA,87,1917,69
CATHARINE,88,1917,68
JANET,89,1917,66
LOIS,89,1917,66
OLGA,89,1917,66
MINNIE,92,1917,65
EMILY,93,1917,64
JULIA,94,1917,63
CHARLOTTE,95,1917,61
PATRICIA,95,1917,61
BETTY,97,1917,58
MADELINE,97,1917,58
VIVIAN,97,1917,58
LOUISE,100,1917,55
SADIE,101,1917,54
BLANCHE,102,1917,53
GEORGINA,103,1917,52
ANNE,104,1917,51
MARIAN,105,1917,50
LILY,106,1917,49
LORNA,106,1917,49
SYLVIA,106,1917,49
JUNE,109,1917,48
CORA,110,1917,47
LEONA,110,1917,47
ELVA,112,1917,46
FREDA,112,1917,46
IVY,112,1917,46
JANE,115,1917,45
LUCY,115,1917,45
KATHERINE,117,1917,44
FLORA,118,1917,43
GERALDINE,118,1917,43
WINIFRED,118,1917,43
PAULINE,121,1917,42
LORETTA,122,1917,41
CHRISTINA,123,1917,40
HARRIET,123,1917,40
VICTORIA,123,1917,40
WILMA,123,1917,40
INA,127,1917,38
VIRGINIA,127,1917,38
CONSTANCE,129,1917,37
LOUISA,129,1917,37
SHIRLEY,129,1917,37
BEULAH,132,1917,36
MABLE,132,1917,36
DAISY,134,1917,35
INEZ,135,1917,33
JOAN,135,1917,33
RACHEL,135,1917,33
THERESA,135,1917,33
VERONICA,135,1917,33
GWENDOLYN,140,1917,32
HELENA,140,1917,32
IRIS,140,1917,32
JEANNE,140,1917,32
AMY,144,1917,31
ELMA,144,1917,31
ROSA,144,1917,31
AILEEN,147,1917,30
CAROLINE,147,1917,30
ISOBEL,147,1917,30
IVA,147,1917,30
LILA,147,1917,30
LILLIE,147,1917,30
ALBERTA,153,1917,29
